Date,Clicks,Impressions,CTR,Position
2025-09-24,7,181,3.87%,8.9
2025-09-25,8,131,6.11%,10.6
2025-09-26,8,185,4.32%,16.8
2025-09-27,1,211,0.47%,22.2
2025-09-28,3,257,1.17%,22.7
2025-09-29,11,332,3.31%,23.7
2025-09-30,4,283,1.41%,21.2
2025-10-01,8,283,2.83%,21.1
2025-10-02,12,358,3.35%,22.7
2025-10-03,3,227,1.32%,23.5
2025-10-04,4,211,1.9%,25.3
2025-10-05,8,255,3.14%,23
2025-10-06,11,320,3.44%,21.5
2025-10-07,7,312,2.24%,18.3
2025-10-08,8,280,2.86%,23.8
2025-10-09,9,316,2.85%,20.3
2025-10-10,1,310,0.32%,20.9
2025-10-11,2,247,0.81%,22.1
2025-10-12,5,317,1.58%,20.6
2025-10-13,6,282,2.13%,21.6
2025-10-14,4,331,1.21%,22.8
2025-10-15,7,343,2.04%,22.5
2025-10-16,6,294,2.04%,24.1
2025-10-17,6,264,2.27%,25.4
2025-10-18,3,254,1.18%,24.8
2025-10-19,5,268,1.87%,22.4
2025-10-20,4,508,0.79%,20.4
2025-10-21,14,392,3.57%,18.7
2025-10-22,5,399,1.25%,25.3
2025-10-23,9,490,1.84%,23.9
2025-10-24,9,368,2.45%,25
2025-10-25,4,275,1.45%,21.2
2025-10-26,6,391,1.53%,24.5
2025-10-27,7,407,1.72%,22.1
2025-10-28,9,511,1.76%,21.3
2025-10-29,7,469,1.49%,25.1
2025-10-30,6,496,1.21%,21.5
2025-10-31,2,369,0.54%,25.1
2025-11-01,7,378,1.85%,26.9
2025-11-02,10,426,2.35%,23.1
2025-11-03,11,438,2.51%,22.8
2025-11-04,7,445,1.57%,21.3
2025-11-05,16,492,3.25%,24
2025-11-06,6,437,1.37%,24
2025-11-07,10,400,2.5%,24.1
2025-11-08,29,457,6.35%,17.6
2025-11-09,9,362,2.49%,25
2025-11-10,10,433,2.31%,20.2
2025-11-11,8,467,1.71%,22.7
2025-11-12,9,475,1.89%,22.2
2025-11-13,14,498,2.81%,25.1
2025-11-14,3,379,0.79%,26.3
2025-11-15,7,331,2.11%,25
2025-11-16,4,333,1.2%,25.6
2025-11-17,14,400,3.5%,21.7
