Country,Clicks,Impressions,CTR,Position
United States,2876,161474,1.78%,21.53
Philippines,19,479,3.97%,10.8
India,11,1141,0.96%,15.85
Pakistan,10,226,4.42%,11.76
Mexico,9,417,2.16%,9.02
Nigeria,8,104,7.69%,15.47
Canada,7,1120,0.62%,13.63
United Kingdom,5,1342,0.37%,24.42
Australia,2,248,0.81%,9.12
South Africa,2,227,0.88%,5.94
Ukraine,2,137,1.46%,14.96
Iran,2,57,3.51%,8.67
Kazakhstan,2,18,11.11%,42.72
Bahamas,2,17,11.76%,5.53
Spain,1,277,0.36%,12.31
Italy,1,198,0.51%,9.39
Bangladesh,1,137,0.73%,8.96
Malaysia,1,134,0.75%,12.51
Singapore,1,109,0.92%,9.84
Ireland,1,88,1.14%,6.62
Egypt,1,84,1.19%,17.69
Hungary,1,49,2.04%,13.98
Jamaica,1,26,3.85%,6.58
Estonia,1,10,10%,7.4
Brazil,0,959,0%,12.12
United Arab Emirates,0,390,0%,34.12
Indonesia,0,334,0%,14.37
Germany,0,308,0%,12.37
Vietnam,0,273,0%,18.04
France,0,262,0%,8.86
Argentina,0,194,0%,10.41
Colombia,0,181,0%,10.77
China,0,174,0%,6.31
Turkey,0,155,0%,14.39
Netherlands,0,135,0%,8.47
South Korea,0,133,0%,14.39
Thailand,0,123,0%,14.04
Russia,0,98,0%,15.67
Ecuador,0,97,0%,7.21
Japan,0,87,0%,8.9
Poland,0,83,0%,10.54
Hong Kong,0,82,0%,6.8
Saudi Arabia,0,80,0%,13.54
Romania,0,78,0%,11.35
Peru,0,74,0%,13
Portugal,0,73,0%,10.16
Sweden,0,66,0%,9.88
Chile,0,66,0%,11.44
Dominican Republic,0,63,0%,10.84
Algeria,0,61,0%,17.7
Switzerland,0,58,0%,12.67
New Zealand,0,53,0%,10.38
Israel,0,53,0%,13.57
Belgium,0,50,0%,10.02
Venezuela,0,50,0%,15.8
Taiwan,0,49,0%,11.18
Iraq,0,49,0%,19.12
Greece,0,46,0%,9.11
Morocco,0,46,0%,13.33
Puerto Rico,0,43,0%,3.33
Czechia,0,42,0%,9.81
Nepal,0,40,0%,11.65
Norway,0,38,0%,7.18
Kenya,0,34,0%,10.74
Austria,0,33,0%,11.85
Denmark,0,31,0%,8.74
Bulgaria,0,29,0%,12.97
Ghana,0,28,0%,25.25
Jordan,0,26,0%,10
Uruguay,0,24,0%,10.38
Georgia,0,24,0%,18.54
Paraguay,0,22,0%,7.27
Serbia,0,22,0%,8.05
Albania,0,22,0%,10.64
Costa Rica,0,21,0%,10.05
Lithuania,0,21,0%,13
Tunisia,0,20,0%,11.95
Ethiopia,0,20,0%,12.3
Oman,0,20,0%,18.05
Qatar,0,19,0%,8.11
Belarus,0,19,0%,15.53
Slovakia,0,18,0%,5.5
Finland,0,18,0%,8.39
Moldova,0,18,0%,9.61
Cambodia,0,18,0%,12.67
Honduras,0,18,0%,12.94
Guatemala,0,17,0%,6.82
Panama,0,17,0%,8.35
Lebanon,0,17,0%,12.71
Latvia,0,17,0%,13.59
Trinidad & Tobago,0,16,0%,4.06
Uganda,0,16,0%,13.44
Croatia,0,16,0%,13.5
Sri Lanka,0,16,0%,13.5
Kuwait,0,15,0%,5.67
Slovenia,0,14,0%,3.93
Kosovo,0,14,0%,6.36
Uzbekistan,0,14,0%,12
Bahrain,0,13,0%,16.92
Yemen,0,12,0%,6.5
Tanzania,0,12,0%,9.17
Cuba,0,11,0%,5.36
Bosnia & Herzegovina,0,11,0%,9.18
Azerbaijan,0,11,0%,9.55
El Salvador,0,11,0%,11.73
Mongolia,0,10,0%,12.8
Palestine,0,10,0%,18.6
Papua New Guinea,0,9,0%,4.78
Syria,0,9,0%,5.11
Senegal,0,9,0%,7.11
Nicaragua,0,9,0%,8.44
Myanmar (Burma),0,9,0%,9
Macedonia,0,9,0%,10.44
Bolivia,0,9,0%,19.78
Cyprus,0,7,0%,4.43
Cameroon,0,7,0%,5.71
Armenia,0,7,0%,5.86
Jersey,0,7,0%,6.43
Luxembourg,0,7,0%,10
Seychelles,0,7,0%,13.57
Namibia,0,7,0%,17.86
Unknown Region,0,6,0%,5.67
Isle of Man,0,5,0%,2.8
Belize,0,5,0%,9.6
Macau,0,5,0%,15
Côte d’Ivoire,0,5,0%,24
Zambia,0,4,0%,2.25
Barbados,0,4,0%,5
Malta,0,4,0%,5
Maldives,0,4,0%,9.5
Laos,0,4,0%,17
Mauritius,0,4,0%,18
Montenegro,0,3,0%,4.67
Martinique,0,3,0%,5.33
Bhutan,0,3,0%,6.33
Grenada,0,3,0%,6.67
Iceland,0,3,0%,6.67
Botswana,0,3,0%,8.67
Aruba,0,3,0%,11.33
Suriname,0,2,0%,1
Sint Maarten,0,2,0%,1
Guam,0,2,0%,1.5
Guyana,0,2,0%,2.5
St. Lucia,0,2,0%,3.5
New Caledonia,0,2,0%,3.5
Brunei,0,2,0%,5
Malawi,0,2,0%,5.5
Bermuda,0,2,0%,6
Lesotho,0,2,0%,6.5
French Polynesia,0,2,0%,7.5
Cape Verde,0,2,0%,8
Haiti,0,2,0%,9.5
Afghanistan,0,2,0%,12
British Virgin Islands,0,2,0%,12
U.S. Virgin Islands,0,2,0%,14.5
Gabon,0,2,0%,15.5
Mozambique,0,2,0%,36.5
Guadeloupe,0,2,0%,45.5
Antigua & Barbuda,0,1,0%,1
Congo - Brazzaville,0,1,0%,1
Djibouti,0,1,0%,1
Liberia,0,1,0%,1
Northern Mariana Islands,0,1,0%,1
São Tomé & Príncipe,0,1,0%,1
Turks & Caicos Islands,0,1,0%,1
Caribbean Netherlands,0,1,0%,2
Cayman Islands,0,1,0%,2
Gibraltar,0,1,0%,2
North Korea,0,1,0%,3
Fiji,0,1,0%,4
Libya,0,1,0%,4
Sudan,0,1,0%,6
Samoa,0,1,0%,6
French Guiana,0,1,0%,7
Réunion,0,1,0%,7
Curaçao,0,1,0%,8
Dominica,0,1,0%,9
Swaziland,0,1,0%,12
Vanuatu,0,1,0%,15
Togo,0,1,0%,27
Mauritania,0,1,0%,29
Congo - Kinshasa,0,1,0%,33
Benin,0,1,0%,43
